㓦劃	bo4 hua4
三都賦	san1 du1 fu4
三重	san1 chong2
三重埔	san1 chong2 pu3
三重奏	san1 chong2 zou4
三重市	san1 chong2 shi4
三重縣	san1 chong2 xian4
三重門	san1 chong2 men2
三長兩短	san1 chang2 liang3 duan3
三長齋月	san1 chang2 zhai1 yue4
三阿姨	san1 a1 yi2
三陪小姐	san1 pei2 xiao3 jie5
三階教	san1 jie1 jiao4
三零四散	san1 ling2 si4 san4
三青子	san1 qing1 zi5
三鞠躬	san1 ju2 gong1
三音度	san1 yin1 du4
上一個	shang4 yi2 ge5
上一頁	shang4 yi2 ye4
